,geometry,class,bio_19_prec_coldest_quarter,bio_04_temp_seasonality,bio_02_mean_diurnal_range,bio_03_isothermality,bio_12_annual_prec,bio_15_prec_seasonality,bio_08_mean_temp_wettest_quarter,bio_13_prec_wettest_month,bio_17_prec_driest_quarter,bio_09_mean_temp_driest_quarter,bio_10_mean_temp_warmest_quarter,bio_01_annual_mean_temp,bio_14_prec_driest_month,bio_16_prec_wettest_quarter,bio_06_min_temp_coldest_month,bio_18_prec_warmest_quarter,bio_11_mean_temp_coldest_quarter,bio_05_max_temp_warmest_month,bio_07_temp_annual_range
2026,POINT (36.26049644348448 1.819088450342031),0,77.0,64.53797,13.8,87.34178,372.0,58.902122,25.55,75.0,50.0,24.733334,25.55,24.683334,12.0,164.0,16.7,164.0,23.95,32.5,15.799999
2027,POINT (35.12861918549388 2.061633577054301),0,253.0,61.624153,11.825,82.69231,680.0,54.513855,20.316668,107.0,60.0,21.233334,21.683332,20.854166,12.0,261.0,14.2,162.0,20.083334,28.5,14.3
2028,POINT (40.30291522202233 2.061633577054301),0,9.0,124.64721,10.491667,70.41388,345.0,106.47005,28.066666,95.0,9.0,25.716667,28.849998,27.1625,2.0,164.0,20.7,49.0,25.716667,35.6,14.899998
2029,POINT (34.481832180927825 -0.848907943492948),0,247.0,65.58595,11.716666,80.804596,1433.0,41.10129,21.316668,222.0,240.0,21.55,21.8,20.966667,56.0,545.0,14.0,285.0,20.116667,28.5,14.5
2030,POINT (38.36255420832416 -3.43605596175717),0,77.0,160.43207,9.741667,66.26984,1046.0,72.24878,21.216667,192.0,77.0,18.25,22.133333,20.329166,21.0,432.0,13.5,238.0,18.25,28.2,14.700001
2031,POINT (40.30291522202233 -0.929756319063705),0,45.0,131.69281,8.891666,68.39744,415.0,78.50087,28.566668,90.0,40.0,25.9,29.083334,27.529167,5.0,173.0,21.5,131.0,25.766666,34.5,13.0
2032,POINT (35.04777080992313 0.040424187785378),0,492.0,78.08309,11.916667,81.06576,1792.0,35.76793,17.916666,252.0,256.0,18.566666,18.916666,18.016666,71.0,622.0,11.0,486.0,17.033333,25.7,14.700001
2033,POINT (36.66473832133826 1.414846572488246),0,106.0,79.92776,12.441667,80.79005,602.0,53.118526,19.216667,107.0,94.0,18.133333,19.216667,18.120832,20.0,249.0,10.5,249.0,17.2,25.9,15.4
2034,POINT (40.868853851017626 0.52551444120992),0,33.0,134.61154,11.358333,72.34608,393.0,93.12574,29.866667,103.0,29.0,27.183334,30.433334,28.754168,6.0,171.0,21.6,139.0,27.033333,37.3,15.699999
2035,POINT (34.88607405878161 0.687211192351434),0,525.0,71.80966,12.758333,82.84632,1461.0,48.3987,19.766666,200.0,146.0,20.183334,20.633333,19.729166,37.0,542.0,12.6,338.0,18.816668,28.0,15.4
2036,POINT (34.96692243435237 2.223330328195815),0,294.0,75.27223,11.7,81.81818,757.0,56.21411,19.616667,123.0,63.0,20.883333,21.266666,20.325,13.0,302.0,13.9,171.0,19.333334,28.2,14.300001
2037,POINT (35.85625456563069 -0.768059567922191),0,256.0,84.318794,11.075,79.10715,1063.0,37.039486,14.35,172.0,178.0,14.183333,14.583333,13.6125,51.0,380.0,7.3,311.0,12.483334,21.3,13.999999
2038,POINT (37.23067695033356 1.819088450342031),0,18.0,80.48505,10.675,79.07407,411.0,91.61548,23.066668,103.0,15.0,21.25,23.233334,22.1875,3.0,201.0,15.6,171.0,21.216667,29.1,13.5
2039,POINT (36.58388994576751 1.172301445775975),0,235.0,86.99855,12.341666,79.62366,778.0,44.19009,13.583334,107.0,91.0,14.733333,15.666667,14.5625,22.0,258.0,7.3,242.0,13.483334,22.8,15.499999
2040,POINT (38.20085745718265 -0.768059567922191),0,2.0,122.383995,10.425,72.90209,660.0,125.93574,23.366667,220.0,2.0,21.016666,24.033333,22.7625,0.0,378.0,15.9,235.0,21.016666,30.2,14.300001
