,lat,lon,Date,search_state,species,geometry
226,-0.4674532,37.6911151,2018-05-24,Embu,FAW,POINT (37.6911151 -0.4674532)
227,-2.71889,37.46388,2018-05-23,Kajiado County,FAW,POINT (37.46388 -2.71889)
228,0.9743511,34.9622034,2018-05-20,Trans-Nzoia County,FAW,POINT (34.9622034 0.9743511)
229,0.6314635,35.0087176,2018-05-16,Kakamega County,FAW,POINT (35.0087176 0.6314635)
230,-1.089464671,35.95504539,2018-05-10,Narok,FAW,POINT (35.95504539 -1.089464671)
231,1.0186541,34.9880713,2018-05-07,Trans-Nzoia County,FAW,POINT (34.9880713 1.0186541)
232,-0.2925258,36.1189362,2018-05-03,Nakuru,FAW,POINT (36.1189362 -0.2925258)
233,-1.2380939,36.6000688,2018-04-18,Kiambu,FAW,POINT (36.6000688 -1.2380939)
234,-1.8546139,36.7825261,2018-04-10,Kajiado County,FAW,POINT (36.7825261 -1.8546139)
235,-0.6430817,37.2372161,2018-03-19,Kirinyaga County,FAW,POINT (37.2372161 -0.6430817)
236,-0.5599069,37.235621,2018-03-19,Kirinyaga County,FAW,POINT (37.235621 -0.5599069)
237,1.0580648,35.2106801,2018-02-08,Trans-Nzoia County,FAW,POINT (35.2106801 1.0580648)
238,-2.8119982,37.4958208,2018-01-25,Kajiado County,FAW,POINT (37.4958208 -2.8119982)
239,0.8097101,35.0534424,2017-12-22,Kakamega County,FAW,POINT (35.0534424 0.8097101)
240,-0.9982082,35.6008312,2017-11-29,Narok,FAW,POINT (35.6008312 -0.9982082)
241,-0.6328785,37.3611863,2017-10-17,Kirinyaga County,FAW,POINT (37.3611863 -0.6328785)
242,0.99319,34.87029,2017-05-31,Trans-Nzoia County,FAW,POINT (34.87029 0.99319)
243,0.95475,35.61245,2017-05-18,Elgeyo-Marakwet County,FAW,POINT (35.61245 0.95475)
244,-4.57847,39.15319,2023-05-02,Kwale,FAW,POINT (39.15319 -4.57847)
245,0.13556866,34.02947606,2023-04-21,Busia County,FAW,POINT (34.02947606 0.13556866)
246,-0.931085,34.223145,2023-04-18,Migori County,FAW,POINT (34.223145 -0.931085)
