,geometry,class,temperature_2m_min,temperature_2m,temperature_2m_max,total_precipitation_sum,surface_pressure,u_component_of_wind_10m,total_evaporation_sum,v_component_of_wind_10m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,soil_temperature_level_1
661,POINT (39.67607505881795 -3.22593367540531),0,294.589583184984,299.2349702941357,306.082126405504,0.057655221029612375,99719.4465641792,-0.8843180478297161,-0.05583734452051835,1.8644092628851747,294.0971121135119,0.15366665231874077,301.4170833830954
662,POINT (39.446728854499064 -3.556055921359686),0,294.5147112740411,298.76883880947145,305.72969987657336,0.04900504852780993,98628.85460145306,-0.7960962216680878,-0.04663660630143972,1.912587938838695,293.50658698290044,0.2128073736272827,300.84479489749214
663,POINT (39.84496840994334 -2.451288993163684),0,294.9225381215413,299.72593804294263,306.90960756937665,0.045385908203316686,99695.04463580072,-1.0885030099081896,-0.04494767040402318,2.3083707077660502,293.77373620868957,0.12408211746798953,302.0441428325829
664,POINT (39.59864588171348 -3.755161783776088),0,294.57044410705566,298.65236495606655,304.8344788021511,0.07061751028762224,99011.87857789936,-0.7273373324766946,-0.06659660695327653,1.8941722508420769,294.054747677444,0.3378044421950846,301.17458413902045
665,POINT (39.80595314676634 -3.677326531896873),0,296.31937355465357,299.2725991136784,303.1078568564521,0.08104120756014482,100744.08759537005,-1.259420088766766,-0.07704789327302326,3.0052790561808056,295.1353520520185,0.2434315502261214,301.4751152599048
666,POINT (39.55599629452049 -3.925797819140504),0,295.06172381507025,299.08546650077915,304.989490614997,0.07466949426497978,100028.4707499011,-0.6875934476604961,-0.0704682436448315,1.8890757080834801,294.490920033754,0.3505315664111752,301.4107838754756
667,POINT (39.800100057650866 -2.508500630696058),0,294.9225381215413,299.72593804294263,306.90960756937665,0.045385908203316686,99695.04463580072,-1.0885030099081896,-0.04494767040402318,2.3083707077660502,293.77373620868957,0.12408211746798953,302.0441428325829
668,POINT (39.11336580967623 -3.490396187590775),0,293.8355145984226,298.54559270025385,306.1728375752767,0.04324125516364272,97521.97003559557,-0.9018646797121007,-0.042127398799897894,2.1043187397819945,292.58459808351927,0.1559057443675405,301.04059227613726
669,POINT (39.47302711349347 -3.370473152567153),0,294.7328754001194,299.06869229444754,305.8921376334296,0.05047141602502229,99153.82841395482,-0.9377089509881884,-0.049025313650620066,2.08518868426943,293.71717139279184,0.17706961566788176,301.2855182054827
670,POINT (39.746842137266114 -3.543681142780116),0,295.15724256303577,298.91331701641843,304.449364344279,0.06312236419807833,99818.49490246453,-1.044040203578576,-0.06165740439125026,2.417967519861853,294.4881543162142,0.1654697123237644,301.0163154902076
