,lat,lon,Date,search_state,species,Year,Month_of_year,YearMonth,Week_of_year,geometry
199,-0.50537,37.72824,29/08/2018,Embu,FAW,2018,8,2018-08,35,POINT (37.72824 -0.50537)
200,0.982222,35.22098,15/08/2018,Trans-Nzoia County,FAW,2018,8,2018-08,33,POINT (35.22098 0.982222)
201,-0.25462,36.23458,25/07/2018,Nakuru,FAW,2018,7,2018-07,30,POINT (36.23458 -0.25462)
202,-3.0726432,37.7230122,05/07/2018,Kajiado County,FAW,2018,7,2018-07,27,POINT (37.7230122 -3.0726432)
203,-0.928184,35.86498,04/07/2018,Narok,FAW,2018,7,2018-07,27,POINT (35.86498 -0.928184)
204,-0.854850796,35.66428712,27/06/2018,Narok,FAW,2018,6,2018-06,26,POINT (35.66428712 -0.854850796)
205,0.0835315,34.0517858,19/06/2018,Busia County,FAW,2018,6,2018-06,25,POINT (34.0517858 0.0835315)
206,-0.66629,37.2937,18/06/2018,Kirinyaga County,FAW,2018,6,2018-06,25,POINT (37.2937 -0.66629)
207,-0.1495268,34.8173966,18/06/2018,Kisumu County,FAW,2018,6,2018-06,25,POINT (34.8173966 -0.1495268)
208,-3.176272,37.733,08/06/2018,Kajiado County,FAW,2018,6,2018-06,23,POINT (37.733 -3.176272)
209,1.0551177,35.5881825,08/06/2018,Elgeyo-Marakwet County,FAW,2018,6,2018-06,23,POINT (35.5881825 1.0551177)
210,-0.577144,37.03649,07/06/2018,Nyeri,FAW,2018,6,2018-06,23,POINT (37.03649 -0.577144)
211,-2.894053569,37.5884336,24/05/2018,Kajiado County,FAW,2018,5,2018-05,21,POINT (37.5884336 -2.894053569)
212,-1.0880329,35.8680365,25/05/2018,Narok,FAW,2018,5,2018-05,21,POINT (35.8680365 -1.0880329)
213,-2.71889,37.46388,23/05/2018,Kajiado County,FAW,2018,5,2018-05,21,POINT (37.46388 -2.71889)
214,-1.20149598,36.72548724,23/05/2018,Kiambu,FAW,2018,5,2018-05,21,POINT (36.72548724 -1.20149598)
215,-0.176445,36.1651,22/05/2018,Nakuru,FAW,2018,5,2018-05,21,POINT (36.1651 -0.176445)
216,0.9743511,34.9622034,20/05/2018,Trans-Nzoia County,FAW,2018,5,2018-05,20,POINT (34.9622034 0.9743511)
217,0.6215414,35.0352025,18/05/2018,Kakamega County,FAW,2018,5,2018-05,20,POINT (35.0352025 0.6215414)
218,-0.2908135,36.1126083,17/05/2018,Nakuru,FAW,2018,5,2018-05,20,POINT (36.1126083 -0.2908135)
219,0.6314635,35.0087176,16/05/2018,Kakamega County,FAW,2018,5,2018-05,20,POINT (35.0087176 0.6314635)
220,-0.2134115,36.1234754,16/05/2018,Nakuru,FAW,2018,5,2018-05,20,POINT (36.1234754 -0.2134115)
221,1.20277813,35.10882195,15/05/2018,West Pokot,FAW,2018,5,2018-05,20,POINT (35.10882195 1.20277813)
222,-0.2759394,36.1536918,08/05/2018,Nakuru,FAW,2018,5,2018-05,19,POINT (36.1536918 -0.2759394)
223,-0.05862,36.2154,05/05/2018,Nakuru,FAW,2018,5,2018-05,18,POINT (36.2154 -0.05862)
224,-1.3391864,37.4432928,30/04/2018,Machakos County,FAW,2018,4,2018-04,18,POINT (37.4432928 -1.3391864)
225,-0.4671209,37.6912368,27/04/2018,Embu,FAW,2018,4,2018-04,17,POINT (37.6912368 -0.4671209)
226,-2.9312435,37.5027272,26/04/2018,Kajiado County,FAW,2018,4,2018-04,17,POINT (37.5027272 -2.9312435)
227,-1.58253,37.24501,26/04/2018,Machakos County,FAW,2018,4,2018-04,17,POINT (37.24501 -1.58253)
228,1.238108,35.14218,25/04/2018,West Pokot,FAW,2018,4,2018-04,17,POINT (35.14218 1.238108)
229,-1.46785,37.30344,25/04/2018,Machakos County,FAW,2018,4,2018-04,17,POINT (37.30344 -1.46785)
230,-1.2380939,36.6000688,18/04/2018,Kiambu,FAW,2018,4,2018-04,16,POINT (36.6000688 -1.2380939)
231,1.0124943,35.3209552,17/04/2018,Trans-Nzoia County,FAW,2018,4,2018-04,16,POINT (35.3209552 1.0124943)
232,-1.3752691,37.2478215,15/04/2018,Machakos County,FAW,2018,4,2018-04,15,POINT (37.2478215 -1.3752691)
233,0.6188297,34.5851958,16/04/2018,Bungoma County,FAW,2018,4,2018-04,16,POINT (34.5851958 0.6188297)
234,-2.998274871,37.62601476,12/04/2018,Kajiado County,FAW,2018,4,2018-04,15,POINT (37.62601476 -2.998274871)
235,-1.8546139,36.7825261,10/04/2018,Kajiado County,FAW,2018,4,2018-04,15,POINT (36.7825261 -1.8546139)
236,-1.089464671,35.95504539,02/04/2018,Narok,FAW,2018,4,2018-04,14,POINT (35.95504539 -1.089464671)
237,-0.62768,37.10609,29/03/2018,Nyeri,FAW,2018,3,2018-03,13,POINT (37.10609 -0.62768)
238,-0.47389,37.46408,23/03/2018,Embu,FAW,2018,3,2018-03,12,POINT (37.46408 -0.47389)
239,-0.6430817,37.2372161,19/03/2018,Kirinyaga County,FAW,2018,3,2018-03,12,POINT (37.2372161 -0.6430817)
240,-0.5599069,37.235621,19/03/2018,Kirinyaga County,FAW,2018,3,2018-03,12,POINT (37.235621 -0.5599069)
241,1.0236529,34.9896093,19/03/2018,Trans-Nzoia County,FAW,2018,3,2018-03,12,POINT (34.9896093 1.0236529)
242,-1.21822,36.65172,27/02/2018,Kiambu,FAW,2018,2,2018-02,9,POINT (36.65172 -1.21822)
243,1.0406658,35.3205255,08/02/2018,Elgeyo-Marakwet County,FAW,2018,2,2018-02,6,POINT (35.3205255 1.0406658)
244,1.0580648,35.2106801,08/02/2018,Trans-Nzoia County,FAW,2018,2,2018-02,6,POINT (35.2106801 1.0580648)
245,-0.5414906,36.9891685,26/01/2018,Nyeri,FAW,2018,1,2018-01,4,POINT (36.9891685 -0.5414906)
246,-2.8119982,37.4958208,25/01/2018,Kajiado County,FAW,2018,1,2018-01,4,POINT (37.4958208 -2.8119982)
247,-1.2431016,36.6628923,24/01/2018,Kiambu,FAW,2018,1,2018-01,4,POINT (36.6628923 -1.2431016)
248,0.8097101,35.0534424,22/12/2017,Kakamega County,FAW,2017,12,2017-12,51,POINT (35.0534424 0.8097101)
249,-0.52697,37.01729,14/12/2017,Nyeri,FAW,2017,12,2017-12,50,POINT (37.01729 -0.52697)
250,-0.5857,37.29047,14/12/2017,Kirinyaga County,FAW,2017,12,2017-12,50,POINT (37.29047 -0.5857)
251,-1.3992183,36.6844302,05/12/2017,Kajiado County,FAW,2017,12,2017-12,49,POINT (36.6844302 -1.3992183)
252,-0.381526441,37.83991685,30/11/2017,Tharaka-Nithi,FAW,2017,11,2017-11,48,POINT (37.83991685 -0.381526441)
253,-0.9982082,35.6008312,29/11/2017,Narok,FAW,2017,11,2017-11,48,POINT (35.6008312 -0.9982082)
254,-1.4004217,36.7656218,29/11/2017,Kajiado County,FAW,2017,11,2017-11,48,POINT (36.7656218 -1.4004217)
255,-0.4476182,37.4799763,23/11/2017,Embu,FAW,2017,11,2017-11,47,POINT (37.4799763 -0.4476182)
256,-1.408468098,37.48089637,21/11/2017,Machakos County,FAW,2017,11,2017-11,47,POINT (37.48089637 -1.408468098)
257,-0.34158,37.62088,21/11/2017,Tharaka-Nithi,FAW,2017,11,2017-11,47,POINT (37.62088 -0.34158)
258,-0.3977889,37.5912438,17/11/2017,Embu,FAW,2017,11,2017-11,46,POINT (37.5912438 -0.3977889)
259,-1.28124,36.61225,13/11/2017,Kiambu,FAW,2017,11,2017-11,46,POINT (36.61225 -1.28124)
260,-0.318592,37.65946,09/11/2017,Tharaka-Nithi,FAW,2017,11,2017-11,45,POINT (37.65946 -0.318592)
261,-0.6328785,37.3611863,17/10/2017,Kirinyaga County,FAW,2017,10,2017-10,42,POINT (37.3611863 -0.6328785)
262,-1.344176,36.64176,25/09/2017,Kajiado County,FAW,2017,9,2017-09,39,POINT (36.64176 -1.344176)
263,-0.1585916,34.8543113,18/09/2017,Kisumu County,FAW,2017,9,2017-09,38,POINT (34.8543113 -0.1585916)
264,-0.4447744,37.7128589,14/09/2017,Tharaka-Nithi,FAW,2017,9,2017-09,37,POINT (37.7128589 -0.4447744)
265,0.7215922,34.7584322,13/09/2017,Bungoma County,FAW,2017,9,2017-09,37,POINT (34.7584322 0.7215922)
266,-0.96993428,35.89853636,25/07/2017,Narok,FAW,2017,7,2017-07,30,POINT (35.89853636 -0.96993428)
267,-0.2159,36.1648,26/07/2017,Nakuru,FAW,2017,7,2017-07,30,POINT (36.1648 -0.2159)
268,1.0145792,35.1967382,14/07/2017,Trans-Nzoia County,FAW,2017,7,2017-07,28,POINT (35.1967382 1.0145792)
269,0.9995849,34.9721929,30/06/2017,Trans-Nzoia County,FAW,2017,6,2017-06,26,POINT (34.9721929 0.9995849)
270,-0.1461222,36.1499578,14/06/2017,Nakuru,FAW,2017,6,2017-06,24,POINT (36.1499578 -0.1461222)
271,-0.64574801,37.31893156,08/06/2017,Kirinyaga County,FAW,2017,6,2017-06,23,POINT (37.31893156 -0.64574801)
