lat,lon,Date,search_state,species
0.551105,34.261607,2019-08-28,Busia County,FAW
0.549903,34.18546,2019-05-20,Busia County,FAW
-1.5290018,37.2628393,2019-06-12,Machakos County,FAW
0.511629,34.146414,2019-10-08,Busia County,FAW
0.536165,34.25831,2019-09-09,Busia County,FAW
0.9658551,35.0565393,2018-07-14,Trans-Nzoia County,FAW
-0.460745,37.0088383,2018-04-26,Nyeri,FAW
0.493634,34.535634,2020-06-11,Bungoma County,FAW
0.544856,34.262669,2019-08-13,Busia County,FAW
-1.1768867,36.8757767,2019-08-02,Kiambu,FAW
0.462374,34.108853,2019-05-20,Busia County,FAW
0.799015,34.718995,2021-05-13,Bungoma County,FAW
0.4488162,34.8515518,2018-04-17,Kakamega County,FAW
-1.5290018,37.2628393,2019-06-12,Machakos County,FAW
0.539579,34.276235,2021-01-27,Busia County,FAW
-0.2852391,36.0696756,2019-02-12,Nakuru,FAW
0.632709,34.26977,2019-05-21,Busia County,FAW
-0.4565798,37.0063129,2018-04-26,Nyeri,FAW
0.536886,34.260394,2019-08-16,Busia County,FAW
-0.2847895,36.0701438,2019-02-12,Nakuru,FAW
-0.2852391,36.0696756,2019-02-12,Nakuru,FAW
0.536165,34.25831,2019-09-03,Busia County,FAW
0.545441,34.263172,2019-09-12,Busia County,FAW
0.7836838,34.8084243,2018-09-12,Bungoma County,FAW
0.551153,34.261497,2019-08-26,Busia County,FAW
0.465352,34.101548,2019-06-08,Busia County,FAW
0.544665,34.262594,2019-08-27,Busia County,FAW
0.52005,34.257554,2021-07-01,Busia County,FAW
-0.7831478,35.4658407,2018-09-14,Bomet,FAW
0.636933,34.316923,2019-11-11,Busia County,FAW
0.499269,34.288866,2019-09-23,Busia County,FAW
-3.201484,39.926188,2021-03-08,Kilifi County,FAW
0.558815,34.2702217,2019-09-11,Busia County,FAW
0.633435,34.637977,2021-04-21,Bungoma County,FAW
0.574314,34.289015,2019-12-06,Busia County,FAW
0.499269,34.288866,2019-09-19,Busia County,FAW
0.745137,34.746165,2021-05-06,Bungoma County,FAW
0.499269,34.288866,2019-09-18,Busia County,FAW
0.536165,34.25831,2019-08-29,Busia County,FAW
0.551105,34.261607,2019-08-29,Busia County,FAW
-0.286441,36.070196,2019-12-16,Nakuru,FAW
0.499269,34.288866,2019-10-02,Busia County,FAW
0.797028,34.721413,2021-06-07,Bungoma County,FAW
-1.2646249,36.7390169,2019-01-30,Nairobi County,FAW
0.583829,34.26234,2019-05-24,Busia County,FAW
0.464761,34.102925,2019-08-14,Busia County,FAW
-3.423791,39.900172,2021-05-19,Kilifi County,FAW
0.551277,34.262762,2019-05-27,Busia County,FAW
0.511629,34.146414,2019-09-24,Busia County,FAW
0.462374,34.108853,2019-05-20,Busia County,FAW
-1.2623592,36.8013114,2019-03-14,Nairobi County,FAW
0.645349,34.28713,2019-05-28,Busia County,FAW
0.504638,34.138156,2019-10-02,Busia County,FAW
0.381902,34.228482,2021-12-15,Busia County,FAW
0.614951,34.2855,2019-11-11,Busia County,FAW
0.632709,34.26977,2019-05-21,Busia County,FAW
0.544665,34.262594,2019-08-27,Busia County,FAW
0.592728,34.577237,2021-05-13,Bungoma County,FAW
0.627649,34.322534,2019-05-29,Busia County,FAW
-0.794911,35.4119548,2018-08-17,Bomet,FAW
-1.1703427,36.8581619,2019-07-11,Kiambu,FAW
0.4831488,37.6090933,2019-04-24,Meru County,FAW
