,geometry,class,tavg,prec,tmax,tmin,vapr,wind
1682,POINT (35.61370943891843 -0.28296931449765),0,13.441667,108.083336,19.433332,7.4166665,1.1241666,2.3833334
1683,POINT (34.1584386786448 4.082842966323224),0,24.950003,46.916668,31.475,18.391666,1.9474999,2.2333333
1684,POINT (36.988131823621295 1.172301445775975),0,20.816668,55.25,27.508333,14.133332,1.6591667,2.6333334
1685,POINT (38.92849283731946 2.6275722060496),0,26.208334,26.916666,31.33333,21.091665,2.0041666,2.5333335
1686,POINT (39.73697659302703 3.193510835044898),0,25.16667,30.25,30.558334,19.808332,1.9183334,2.7
1687,POINT (39.332734715173245 2.708420581620357),0,26.308332,28.0,31.96667,20.641666,2.0024998,2.7166665
1688,POINT (36.179648067913725 0.282969314497649),0,18.941668,83.833336,25.941666,11.95,1.4758333,2.3999999
1689,POINT (36.74558669690902 -1.010604694634462),0,16.016666,118.083336,22.058334,9.983335,1.3558332,2.6249998
1690,POINT (35.61370943891843 2.708420581620357),0,26.741669,25.416666,33.391666,20.09167,1.8974999,2.2583334
1691,POINT (38.8476444617487 1.414846572488246),0,27.416666,27.166666,33.399998,21.441666,2.1166666,2.2083333
1692,POINT (39.979521719739296 -0.687211192351434),0,28.025,32.666668,32.958332,23.1,2.3541667,2.483333
1693,POINT (34.96692243435237 0.929756319063705),0,18.408335,97.75,25.008331,11.783333,1.5025,2.1250002
1694,POINT (37.06898019919205 0.040424187785378),0,16.241667,66.666664,23.583334,8.925,1.4066666,2.4083335
1695,POINT (36.58388994576751 -0.768059567922191),0,12.525001,98.833336,18.791666,6.2916665,1.1783334,2.341667
1696,POINT (38.36255420832416 3.031814083903384),0,25.941666,27.333334,31.358335,20.516665,1.9566666,2.45
1697,POINT (40.060370095310056 1.899936825912787),0,28.041666,28.416666,33.524998,22.558334,2.118333,2.7750003
1698,POINT (35.04777080992313 1.414846572488246),0,21.541666,79.583336,28.033333,15.033334,1.7191668,2.3999999
1699,POINT (36.58388994576751 -0.444666065639163),0,11.983334,109.5,17.933332,6.025,1.1433333,2.1666667
1700,POINT (38.8476444617487 -3.193510835044899),0,24.683334,72.833336,29.875,19.475,2.17,2.5833333
1701,POINT (36.66473832133826 -1.980785201483545),0,19.575,55.166668,25.200003,13.958335,1.4799999,2.9583333
1702,POINT (36.26049644348448 -0.687211192351434),0,15.083333,63.333332,21.975,8.175,1.2716666,2.4749997
1703,POINT (37.39237370147508 -1.980785201483545),0,21.083334,57.0,26.741663,15.433333,1.7191668,3.1166666
1704,POINT (38.68594771060719 0.76805956792219),0,26.400002,29.666666,32.25,20.558334,2.0791671,2.275
1705,POINT (37.47322207704583 2.708420581620357),0,27.449999,22.5,33.741665,21.183334,2.0441666,2.3083334
1706,POINT (38.60509933503643 -2.061633577054302),0,24.983332,54.25,29.691668,20.291668,2.1216667,2.5500002
1707,POINT (41.51564085558368 3.67860108846944),0,28.133331,22.416666,34.108334,22.141668,2.1016667,2.6083333
1708,POINT (36.50304157019675 1.333998196917489),0,21.450003,46.5,27.941666,14.966666,1.6933335,2.2583334
1709,POINT (39.65612821745627 -1.253149821346732),0,27.324997,38.75,32.19167,22.441668,2.3716667,2.3916667
1710,POINT (38.8476444617487 0.121272563356135),0,26.15,29.25,31.466667,20.816668,2.1191666,2.3916667
1711,POINT (36.66473832133826 0.52551444120992),0,17.566664,54.416668,25.191666,9.974999,1.395,2.0666668
1712,POINT (39.65612821745627 -2.708420581620357),0,25.525,62.166668,29.666666,21.383331,2.3533332,2.6333334
1713,POINT (38.03916070604113 3.436055961757169),0,24.749998,30.166666,30.308332,19.225,1.8783332,2.3500001
1714,POINT (36.26049644348448 0.040424187785378),0,14.283334,81.0,21.133333,7.441666,1.2200001,2.2
1715,POINT (35.04777080992313 1.495694948059003),0,21.783335,75.0,28.375002,15.216666,1.7483333,2.4250002
1716,POINT (39.00934121289021 -2.223330328195816),0,26.033335,57.083332,30.749998,21.291666,2.2500002,2.5916667
1717,POINT (36.826435072479775 4.406236468606252),0,26.891668,29.833334,33.458332,20.333334,2.0558336,2.1583335
1718,POINT (39.332734715173245 2.708420581620357),0,26.308332,28.0,31.96667,20.641666,2.0024998,2.7166665
1719,POINT (39.251886339602486 2.385027079337329),0,26.783333,26.833334,32.458332,21.133333,2.0416667,2.525
1720,POINT (35.93710294120145 -0.929756319063705),0,15.091667,75.5,21.466667,8.7,1.2591667,2.3916667
1721,POINT (36.74558669690902 1.57654332362976),0,20.366667,42.5,26.841667,13.875,1.6108335,2.2833335
1722,POINT (38.76679608617795 0.444666065639163),0,25.758333,31.75,31.300001,20.208334,2.0608335,2.266667
1723,POINT (38.12000908161189 -3.67860108846944),0,22.808334,52.333332,28.416664,17.199999,1.9741665,3.1416664
1724,POINT (34.88607405878161 0.444666065639163),0,19.766665,150.16667,26.033333,13.508334,1.6083335,2.4666667
1725,POINT (38.2817058327534 -3.112662459474143),0,23.433334,63.166668,28.741667,18.141665,2.0391665,2.875
1726,POINT (36.826435072479775 0.040424187785378),0,16.783333,60.583332,24.158335,9.366666,1.4008332,2.7916667
1727,POINT (41.43479248001292 -1.657391699200518),0,26.641668,58.083332,29.824999,23.458334,2.71,3.958333
1728,POINT (37.95831233047038 -1.253149821346732),0,21.05,69.25,26.625,15.508335,1.7416668,3.0166667
1729,POINT (40.22206684645157 3.274359210615655),0,25.641665,26.75,31.158333,20.116665,1.9491668,2.6750002
1730,POINT (35.45201268777691 0.282969314497649),0,15.550002,100.583336,21.866667,9.25,1.2383333,2.3666666
1731,POINT (35.290315936635395 0.52551444120992),0,17.35,89.666664,23.699999,11.008334,1.3425001,2.1833334
1732,POINT (39.57527984188552 0.687211192351434),0,28.283333,26.333334,34.108334,22.466665,2.2116668,2.4583333
1733,POINT (38.92849283731946 -2.061633577054302),0,25.983332,54.916668,30.675001,21.275002,2.23,2.5583332
1734,POINT (37.634918828187345 -3.516904337327926),0,23.441668,44.583332,28.633333,18.233332,1.9883332,2.9999998
1735,POINT (36.098799692342965 -0.848907943492948),0,11.783334,100.083336,17.783335,5.7916665,1.0866667,2.0416667
1736,POINT (37.95831233047038 -2.870117332761871),0,22.366667,53.5,27.883333,16.85,1.9066668,3.2333336
1737,POINT (40.30291522202233 -2.465875454908087),0,27.041664,76.75,30.833334,23.233332,2.6250002,3.5416663
1738,POINT (34.643528932069344 0.363817690068406),0,20.908333,152.33333,27.108335,14.733334,1.7208332,2.4333334
1739,POINT (39.251886339602486 -1.172301445775975),0,26.900002,42.166668,31.833334,21.949999,2.2741666,2.4999998
1740,POINT (41.19224735330065 3.274359210615655),0,27.050001,24.916666,32.891666,21.225,2.05,2.6083333
1741,POINT (40.949702226588386 -1.172301445775975),0,27.383331,43.25,31.449999,23.325003,2.5141666,2.908333
1742,POINT (37.31152532590432 0.606362816780677),0,23.241663,53.833332,30.224998,16.275,1.7591666,2.5333335
1743,POINT (40.949702226588386 -1.33399819691749),0,27.150002,48.5,31.050001,23.283333,2.5541668,2.8583333
1744,POINT (36.50304157019675 0.282969314497649),0,17.508333,59.083332,25.333334,9.691667,1.38,2.325
1745,POINT (38.60509933503643 -2.465875454908087),0,25.175001,62.833332,30.133331,20.233332,2.1516666,2.5666668
1746,POINT (34.562680556498584 -0.040424187785379),0,20.983332,137.16667,26.841665,15.116668,1.7116667,2.3916664
1747,POINT (40.62630872430535 -1.980785201483545),0,27.116667,73.166664,30.599998,23.625,2.6508334,3.2666671
1748,POINT (36.50304157019675 -0.687211192351434),0,14.566666,82.083336,21.375,7.7250004,1.2674999,2.4916666
1749,POINT (35.371164312206155 -0.848907943492948),0,17.116667,99.333336,23.433332,10.8,1.3683332,2.3750002
1750,POINT (35.20946756106464 3.840297839610954),0,28.091667,27.916666,35.325,20.841667,2.0508335,2.2166665
1751,POINT (37.79661557932886 -3.193510835044899),0,22.491667,58.916668,28.483332,16.466667,1.8991667,2.95
1752,POINT (35.12861918549388 -1.33399819691749),0,19.933334,85.083336,26.466665,13.400001,1.5716667,2.616667
1753,POINT (38.12000908161189 -1.414846572488247),0,23.65,60.333332,28.641668,18.675,1.9799999,2.8000002
1754,POINT (39.89867334416854 -3.355207586186413),0,25.0,74.25,28.6,21.383333,2.5525,3.575
1755,POINT (37.95831233047038 -1.819088450342031),0,23.0,51.25,28.416666,17.591667,1.8816667,2.8500001
1756,POINT (38.92849283731946 -4.406236468606252),0,24.08333,67.083336,28.700003,19.5,2.3266668,2.875
1757,POINT (37.95831233047038 -2.708420581620357),0,20.425,74.25,25.641665,15.174999,1.7599999,2.7
1758,POINT (39.57527984188552 -3.921146215181711),0,25.166666,92.916664,29.241667,21.066668,2.4966667,3.0500002
1759,POINT (39.81782496859778 -0.929756319063705),0,27.966667,35.833332,32.983334,22.958334,2.3850002,2.4250002
1760,POINT (34.80522568321086 1.172301445775975),0,17.616667,94.916664,23.974998,11.224999,1.4266667,1.9583334
1761,POINT (37.55407045261659 0.202120938926892),0,19.375002,108.833336,26.108335,12.658333,1.5383334,2.8666668
1762,POINT (38.2817058327534 1.414846572488246),0,26.558332,27.583334,32.600002,20.525,2.0600002,2.2583334
1763,POINT (37.55407045261659 -2.061633577054302),0,21.90833,58.75,27.741667,16.066668,1.7941666,3.0
1764,POINT (40.62630872430535 3.193510835044898),0,26.133333,26.166666,31.625002,20.65833,1.9925,2.8166666
