,geometry,class,temperature_2m_min,temperature_2m,temperature_2m_max,total_precipitation_sum,surface_pressure,u_component_of_wind_10m,total_evaporation_sum,v_component_of_wind_10m,dewpoint_temperature_2m,volumetric_soil_water_layer_1,soil_temperature_level_1,split
752,POINT (40.95393763629937 -0.803758002544209),0,295.6248553593953,300.8449422439427,308.59904140896265,0.03335643649961514,100148.14863645752,-1.165059056927326,-0.032832627488662385,2.536434066326238,293.37845904149157,0.133466704021005,304.00662911608447,train
753,POINT (37.85907801872923 -1.055764186008706),0,289.20008087158203,294.8755103356349,302.2316371070014,0.06532931976880592,88673.43069457047,-1.1264590994651986,-0.05807242082017991,1.155059239221747,287.9535233406887,0.2525462834083893,296.8041539041241,train
754,POINT (39.58608076249999 -3.677197183822807),0,294.42044311099585,298.5043547224593,304.77150472005206,0.0657213638353609,98603.7470167017,-0.7958114287930563,-0.062034310333223805,1.974704904990685,293.84842541072595,0.33804316289355196,301.0893256242965,train
755,POINT (40.74391406641069 0.232772478477713),0,295.81960688696967,301.9417296438665,309.81487295362683,0.021912107525924467,99950.23084941105,-1.3937049758160034,-0.021518408010403316,2.888002606183125,292.16592237544455,0.1204585376673663,305.19536110431585,train
756,POINT (39.647640863787906 1.941263490134434),0,294.8846517139011,301.23400749143343,308.18497297498914,0.026771480499366545,97606.91355887841,-2.05723491014468,-0.0258913580651602,3.0930533372113533,290.12693532900437,0.1640751693695493,304.60767211789266,train
757,POINT (38.58130358484614 2.990847040192635),0,293.9574954774645,300.28107177295146,307.72126462724475,0.03235812347828642,94705.95944909356,-3.049953039838786,-0.03183663020738297,2.7390789061599228,288.6076440311415,0.11944356923730484,303.5659575860832,train
758,POINT (34.852174359721175 3.318670210806451),0,292.0874563852946,299.5806036350346,307.285282558865,0.05793685540796282,91337.3300523424,-2.21703077615383,-0.0574614753972532,0.5432178672122849,287.9329307505721,0.09531264622116788,302.90431902952207,train
759,POINT (40.78781167875803 -1.001579248118854),0,295.43297555711536,300.7176259037607,308.5079593658447,0.035920224227335346,100091.83062991117,-1.143259727528821,-0.035334590906536,2.4349302802023844,293.40065152576375,0.15305250467807607,303.527851409761,train
760,POINT (36.63544554924982 -0.961224496549172),0,280.9534289042155,288.0821556033036,295.39263831244574,0.09204234459366363,78239.05349764062,-1.104648361980179,-0.07932577602332458,-0.02481507028816569,283.61021515239963,0.3196993375374436,288.8879140333096,train
761,POINT (39.3962277986556 0.521618637470061),0,295.3929314083523,301.6339649014156,308.8706126742893,0.02372877576317352,98596.85120682353,-1.7738450881778902,-0.023018146645174258,3.746221148728381,290.9399562887558,0.13576898229567838,305.43660067659124,train
762,POINT (39.56399938793739 1.075059505878854),0,295.2211637496948,301.4917762441726,308.52679273817273,0.025787509276545335,98229.03232016874,-2.0297300825737574,-0.024858524861176394,3.600567380494136,290.6770356506505,0.16188328768863627,304.9522215128772,train
