,geometry,class,tavg,prec,tmax,tmin,vapr,wind,split
711,POINT (37.434841437958475 2.624945381168628),0,26.858332,21.416666,32.841663,20.891666,2.0025,2.3249998,train
712,POINT (36.31862472214163 -1.28009802840564),0,21.716667,57.583332,28.591667,14.858335,1.5949999,3.0083334,train
713,POINT (35.31081512584268 1.597545876794086),0,18.016665,82.916664,24.033335,12.008332,1.4241667,2.2833335,train
714,POINT (38.86074191591645 2.230463241030836),0,26.941668,26.583334,32.8,21.083334,2.0541668,2.4750001,train
715,POINT (38.80365938210478 -0.782245267691025),0,25.325003,45.5,30.225,20.391666,2.1141665,2.5500002,train
716,POINT (40.31667264001864 1.66213554037403),0,28.258337,28.916666,33.55,22.991667,2.1750002,2.8666668,train
717,POINT (39.860361087781314 3.280322510027351),0,25.183334,29.916666,30.716665,19.641666,1.9108334,2.675,train
718,POINT (34.59887457078793 -0.990826182712537),0,20.375,124.25,26.208334,14.516667,1.6683334,2.4833333,train
719,POINT (40.283082412867934 -1.15988017329628),0,27.416664,35.333332,31.849998,23.016668,2.4616666,2.6250002,train
720,POINT (40.64979313041729 -1.736905050891794),0,27.225,59.916668,30.958334,23.5,2.6258335,3.2666664,train
721,POINT (38.91574822197245 1.194629254089902),0,27.025,24.25,32.425,21.625,2.1299999,2.2666667,train
722,POINT (36.71592219832325 2.898143046786629),0,28.466667,15.916667,35.05,21.908333,2.059167,2.2416668,train
723,POINT (39.61685243827116 3.008069084566896),0,25.916666,27.5,31.300001,20.541666,1.9674997,2.6416667,train
724,POINT (37.85175357335 -1.612401636862228),0,22.525,58.333332,28.016668,17.058332,1.8399998,2.9750001,train
725,POINT (40.25182166492583 -0.538022406241907),0,27.941666,30.75,32.69167,23.200003,2.3708334,2.6333332,train
726,POINT (39.08391131602602 -4.107150811248372),0,24.241667,66.416664,28.883333,19.591667,2.34,2.3416667,train
727,POINT (37.38035893863774 2.691748835938045),0,27.266668,21.416666,33.408337,21.116667,2.0291667,2.391667,train
728,POINT (36.39813974083364 3.8326204152735),0,29.283333,20.0,35.683334,22.91667,2.1016667,2.2583332,train
729,POINT (38.75558955506847 -0.962759040567966),0,25.508333,50.583332,30.424997,20.583336,2.1316664,2.5500002,train
730,POINT (39.51164510141447 -4.149157034249517),0,25.483332,94.666664,29.733332,21.216667,2.5408332,3.1000001,train
731,POINT (38.75994288060285 2.996088017272343),0,26.008333,30.25,31.408335,20.624998,1.9691666,2.4333332,train
