,geometry,class,tavg,prec,tmax,tmin,vapr,wind,split
1964,POINT (35.666595923174704 3.659036832944822),0,28.783334732055664,20.33333396911621,35.57500076293945,22.0,2.0233333110809326,2.1583330631256104,test
1965,POINT (38.81170551197616 -3.245594019709413),0,24.683334350585938,72.5,29.94999885559082,19.40833282470703,2.174166679382324,2.633333444595337,test
1966,POINT (40.57253977391833 1.877323014921589),0,27.833330154418945,28.83333396911621,33.06666564941406,22.58333396911621,2.1650002002716064,2.7916669845581055,test
1967,POINT (40.244584745072224 2.060847152379682),0,27.258333206176758,28.25,32.45000076293945,22.041669845581055,2.0874998569488525,2.7666666507720947,test
1968,POINT (35.14138173492597 0.25416514039952),0,17.725000381469727,119.83333587646484,23.933334350585938,11.52500057220459,1.4133334159851074,2.441666603088379,test
1969,POINT (40.49110754347894 -0.922269697868388),0,27.48333168029785,35.16666793823242,31.775001525878906,23.158334732055664,2.441666603088379,2.691666603088379,test
1970,POINT (39.90123643500896 -1.521020229852744),0,27.441665649414062,39.58333206176758,32.025001525878906,22.82499885559082,2.444166660308838,2.383333444595337,test
1971,POINT (35.53145474630274 2.852616140408623),0,27.89166831970215,24.66666603088379,34.9083366394043,20.875,1.9583333730697632,2.4166667461395264,test
1972,POINT (39.03373119189982 -0.971685856741552),0,26.69999885559082,43.83333206176758,31.78333282470703,21.616668701171875,2.2225000858306885,2.424999952316284,test
1973,POINT (37.98251661911028 1.651907771079146),0,25.69999885559082,27.83333396911621,31.600000381469727,19.808332443237305,1.9791665077209473,2.4083333015441895,test
1974,POINT (37.41086103508421 -0.722575939311064),0,21.691665649414062,73.83333587646484,27.475000381469727,15.90000057220459,1.7333334684371948,2.9750001430511475,test
1975,POINT (38.657580373838655 -3.312203788449477),0,24.16666603088379,71.33333587646484,29.45833396911621,18.83333396911621,2.128333330154419,2.691666603088379,test
1976,POINT (38.820045893869136 -0.191169201198881),0,26.174997329711914,30.0,31.33333396911621,21.041669845581055,2.1483333110809326,2.2916667461395264,test
1977,POINT (35.38727666695147 -0.745491960315401),0,16.616666793823242,110.58333587646484,22.89166831970215,10.375000953674316,1.34250009059906,2.4083333015441895,test
1978,POINT (39.93944638185288 -3.45958768625426),0,25.558334350585938,68.41666412353516,29.341665267944336,21.741666793823242,2.6091666221618652,3.758333444595337,test
1979,POINT (37.31673610921654 -0.04185155291727),0,7.750000476837158,125.5,13.541666984558105,1.941666603088379,0.9708333611488342,1.5500000715255737,test
